month_year,type_of_offence,count_category,count
2010-07-01,Restraints,Fines,762450.0
2010-07-01,Restraints,Offences,5083.0
2010-08-01,Alcohol specific offences,Fines,0.0
2010-08-01,Alcohol specific offences,Offences,2518.0
2010-08-01,Camera-issued speed offences,Fines,3743420.0
2010-08-01,Camera-issued speed offences,Offences,47543.0
2010-08-01,Drug specific offences,Offences,32.0
2010-08-01,Mobile phone offences,Fines,69230.0
2010-08-01,Mobile phone offences,Offences,863.0
2010-08-01,Officer-issued red light,Fines,167100.0
2010-08-01,Officer-issued red light,Offences,1114.0
2010-08-01,Restraints,Fines,891150.0
2010-08-01,Restraints,Offences,5941.0
2010-09-01,Alcohol specific offences,Fines,0.0
2010-09-01,Alcohol specific offences,Offences,2751.0
2010-09-01,Camera-issued speed offences,Fines,4162470.0
2010-09-01,Camera-issued speed offences,Offences,51157.0
2010-09-01,Drug specific offences,Offences,19.0
2010-09-01,Mobile phone offences,Fines,56290.0
2010-09-01,Mobile phone offences,Offences,704.0
2010-09-01,Officer-issued red light,Fines,153300.0
2010-09-01,Officer-issued red light,Offences,1022.0
2010-09-01,Restraints,Fines,839250.0
2010-09-01,Restraints,Offences,5595.0
2010-10-01,Alcohol specific offences,Fines,0.0
2010-10-01,Alcohol specific offences,Offences,2876.0
2010-10-01,Camera-issued speed offences,Fines,5104600.0
2010-10-01,Camera-issued speed offences,Offences,68827.0
2010-10-01,Drug specific offences,Offences,15.0
2010-10-01,Mobile phone offences,Fines,65220.0
2010-10-01,Mobile phone offences,Offences,815.0
2010-10-01,Officer-issued red light,Fines,156750.0
2010-10-01,Officer-issued red light,Offences,1045.0
2010-10-01,Restraints,Fines,907950.0
2010-10-01,Restraints,Offences,6054.0
2010-11-01,Alcohol specific offences,Fines,0.0
2010-11-01,Alcohol specific offences,Offences,2487.0
2010-11-01,Camera-issued speed offences,Fines,4284e3
2010-11-01,Camera-issued speed offences,Offences,53381.0
2010-11-01,Drug specific offences,Offences,15.0
2010-11-01,Mobile phone offences,Fines,56950.0
2010-11-01,Mobile phone offences,Offences,711.0
2010-11-01,Officer-issued red light,Fines,146250.0
2010-11-01,Officer-issued red light,Offences,975.0
2010-11-01,Restraints,Fines,844500.0
2010-11-01,Restraints,Offences,5631.0
2010-12-01,Alcohol specific offences,Fines,0.0
2010-12-01,Alcohol specific offences,Offences,2894.0
2010-12-01,Camera-issued speed offences,Fines,4887120.0
2010-12-01,Camera-issued speed offences,Offences,71488.0
2010-12-01,Drug specific offences,Offences,14.0
2010-12-01,Mobile phone offences,Fines,58210.0
2010-12-01,Mobile phone offences,Offences,728.0
2010-12-01,Officer-issued red light,Fines,140550.0
2010-12-01,Officer-issued red light,Offences,938.0
2010-12-01,Restraints,Fines,872550.0
2010-12-01,Restraints,Offences,5818.0
2011-01-01,Alcohol specific offences,Fines,0.0
2011-01-01,Alcohol specific offences,Offences,2188.0
2011-01-01,Camera-issued speed offences,Fines,4249240.0
2011-01-01,Camera-issued speed offences,Offences,49168.0
2011-01-01,Drug specific offences,Offences,18.0
2011-01-01,Mobile phone offences,Fines,46410.0
2011-01-01,Mobile phone offences,Offences,580.0
2011-01-01,Officer-issued red light,Fines,129150.0
2011-01-01,Officer-issued red light,Offences,862.0
2011-01-01,Restraints,Fines,783e3
2011-01-01,Restraints,Offences,5220.0
2011-02-01,Alcohol specific offences,Fines,0.0
2011-02-01,Alcohol specific offences,Offences,2194.0
2011-02-01,Camera-issued speed offences,Fines,3378e3
2011-02-01,Camera-issued speed offences,Offences,40243.0
2011-02-01,Drug specific offences,Offences,11.0
2011-02-01,Mobile phone offences,Fines,59155.0
2011-02-01,Mobile phone offences,Offences,729.0
2011-02-01,Officer-issued red light,Fines,124350.0
2011-02-01,Officer-issued red light,Offences,830.0
2011-02-01,Restraints,Fines,700100.0
2011-02-01,Restraints,Offences,4669.0
2011-03-01,Alcohol specific offences,Fines,0.0
2011-03-01,Alcohol specific offences,Offences,2380.0
2011-03-01,Camera-issued speed offences,Fines,4248120.0
2011-03-01,Camera-issued speed offences,Offences,51927.0
2011-03-01,Drug specific offences,Offences,8.0
2011-03-01,Mobile phone offences,Fines,61440.0
2011-03-01,Mobile phone offences,Offences,768.0
2011-03-01,Officer-issued red light,Fines,161250.0
2011-03-01,Officer-issued red light,Offences,1075.0
2011-03-01,Restraints,Fines,724500.0
2011-03-01,Restraints,Offences,4832.0
2011-04-01,Alcohol specific offences,Fines,0.0
2011-04-01,Alcohol specific offences,Offences,2764.0
2011-04-01,Camera-issued speed offences,Fines,4448240.0
2011-04-01,Camera-issued speed offences,Offences,59331.0
2011-04-01,Drug specific offences,Offences,13.0
2011-04-01,Mobile phone offences,Fines,56050.0
2011-04-01,Mobile phone offences,Offences,698.0
2011-04-01,Officer-issued red light,Fines,151350.0
2011-04-01,Officer-issued red light,Offences,1009.0
2011-04-01,Restraints,Fines,627600.0
2011-04-01,Restraints,Offences,4184.0
2011-05-01,Alcohol specific offences,Fines,0.0
2011-05-01,Alcohol specific offences,Offences,2950.0
2011-05-01,Camera-issued speed offences,Fines,4162870.0
2011-05-01,Camera-issued speed offences,Offences,53031.0
2011-05-01,Drug specific offences,Offences,24.0
2011-05-01,Mobile phone offences,Fines,61528.0
